Metadata,Value
Stock Symbol,AAPL
Download Date,2024-10-12 13:57:09
Interval,1d
Period,6mo

Date,Close
2024-09-19 00:00:00-04:00,228.8699951171875
2024-09-20 00:00:00-04:00,228.1999969482422
2024-09-23 00:00:00-04:00,226.47000122070312
2024-09-24 00:00:00-04:00,227.3699951171875
2024-09-25 00:00:00-04:00,226.3699951171875
2024-09-26 00:00:00-04:00,227.52000427246094
2024-09-27 00:00:00-04:00,227.7899932861328
2024-09-30 00:00:00-04:00,233.0
2024-10-01 00:00:00-04:00,226.2100067138672
2024-10-02 00:00:00-04:00,226.77999877929688
2024-10-03 00:00:00-04:00,225.6699981689453
2024-10-04 00:00:00-04:00,226.8000030517578
2024-10-07 00:00:00-04:00,221.69000244140625
2024-10-08 00:00:00-04:00,225.77000427246094
2024-10-09 00:00:00-04:00,229.5399932861328
2024-10-10 00:00:00-04:00,229.0399932861328
2024-10-11 00:00:00-04:00,227.5500030517578
